iter	Passed	Remaining
562	34495	41113
563	34553	41047
564	34604	40974
565	34665	40912
566	34719	40843
567	34778	40779
568	34836	40714
569	34898	40653
570	34960	40592
571	35020	40530
572	35074	40461
573	35134	40398
574	35190	40331
575	35248	40266
576	35306	40201
577	35363	40136
578	35418	40068
579	35476	40002
580	35536	39940
581	35594	39875
582	35651	39809
583	35711	39747
584	35769	39682
585	35826	39617
586	35881	39549
587	35940	39485
588	35996	39418
589	36050	39350
590	36106	39283
591	36160	39215
592	36218	39150
593	36275	39084
594	36333	39020
595	36389	38953
596	36444	38886
597	36508	38828
598	36565	38763
599	36620	38695
600	36683	38637
601	36741	38572
602	36799	38508
603	36854	38441
604	36914	38378
605	36973	38315
606	37029	38249
607	37084	38182
608	37141	38117
609	37198	38052
610	37257	37989
611	37314	37924
612	37372	37860
613	37429	37795
614	37487	37731
615	37542	37664
616	37599	37599
617	37656	37534
618	37717	37473
619	37774	37409
620	37830	37342
621	37899	37290
622	37979	37247
623	38064	37210
624	38156	37179
625	38221	37122
626	38282	37061
627	38340	36997
628	38401	36936
629	38476	36888
630	38529	36819
631	38606	36774
632	38672	36717
633	38738	36661
634	38803	36603
635	38870	36547
636	38923	36479
637	38973	36407
638	39027	36340
639	39085	36275
640	39140	36209
641	39196	36143
642	39243	36069
643	39292	35998
644	39342	35927
645	39402	35864
646	39461	35801
647	39520	35739
648	39581	35678
649	39636	35612
650	39697	35550
651	39748	35481
652	39802	35413
653	39852	35343
654	39910	35279
655	39966	35214
656	40023	35150
657	40085	35089
658	40141	35025
659	40199	34961
660	40257	34898
661	40319	34838
662	40379	34776
663	40432	34708
664	40484	34639
665	40541	34575
666	40595	34509
667	40655	34447
668	40719	34389
669	40777	34325
670	40834	34262
671	40891	34198
672	40946	34132
673	41003	34068
674	41060	34004
675	41116	33939
676	41171	33873
677	41227	33808
678	41284	33744
679	41340	33680
680	41396	33615
681	41451	33550
682	41508	33486
683	41555	33414
684	41613	33351
685	41675	33292
686	41735	33230
687	41789	33164
688	41849	33103
689	41943	33068
690	42037	33033
691	42149	33013
692	42242	32977
693	42342	32946
694	42419	32897
695	42479	32835
696	42530	32767
697	42583	32700
698	42639	32635
699	42692	32568
700	42740	32497
701	42793	32430
702	42852	32367
703	42919	32311
704	43001	32266
705	43069	32210
706	43125	32145
707	43181	32080
